Reference,Product,Country,Study % of Country,Overlap Study %,"GHG Emis 
(kg CO2 eq)",Seed,Fertilizer and pesticide production and transport to farm,Machinery production and transport to farm; greenhouse and trellis infrastructure,Electricity and fuel use,Synthetic fertilizer (N2O direct),Synthetic fertilizer (N2O indirect),Organic fertilizer (N2O direct and indirect); excretion on pasture included under manure management,Crop residue (N2O direct and indirect),Cultivated organic soils (N2O),Urea hydrolysis (CO2),Lime application (CO2),Flooded rice (CH4),Residue burning (CH4 and N2O),"Fuel use for drying, grading and storage",Feed processing and transport,Animal housing and other farm inputs,Enteric fermentation(CH4),Manure management and aquaculture ponds (CH4),Manure management and aquaculture ponds (N2O direct),Manure management and aquaculture ponds (N2O indirect),LUC Burn,Acid Pot (kg SO2 eq),Eutr Pot (kg PO43- eq),Freshwtr. Withdr. (L),Wtr Sc. (L eq)
Rajaeifar et al. (2014b); Mousavi-Avval et al. (2011a),Soybean oil,Iran (Islamic Republic of),0.75,0.333333333,3.431004716,0.037777057,0.106906303,0.044097641,0.708329235,0.570864264,0.052242947,0.180467824,0.035382045,0.076984349,0,0,0,0,0,0,0,0,0,0,0,0,0.0358876,0.015520395,3294.384177,307031.5011
Stephenson et al. (2010),Soybean oil,South Africa,1,1,3.908709085,0.107661884,0.138595337,0.103157335,0.515330395,0.028088684,,0,0.216726189,NC,0.661945405,0,0,0.24845213,0,0,0,0,0,0,0,0,0.016376991,0.012466033,1.583598388,31.00942186
Krieger and Knowlton (2014),Soybean oil,United States of America,0.00033371,1,2.871884439,0.026300869,0.823550165,0.011637185,Incl,Incl,0.000624261,0,Incl,0,0.027967996,0,0.012916022,0.530214572,0,0,0,0,0,0,0,0,0.012318997,0.006510611,44.29586095,1575.311261
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soybeans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castanheira and Freire (2013),Soybeans,Argentina,0.799,0.5,5.717285441,0.008451601,0.063156895,0.008722673,0.080599892,0.146415433,,,,0,0,0,0,0.020285822,0.076976996,0,0,0,0,0,0,0.238591906,0.011418939,-,1.583598388,7.771746627
Castanheira and Freire (2013),Soybeans,Argentina,0.201,0.333333333,5.870750922,0.010064746,0.035891721,0.018400317,0.07748054,0.150783208,,,,0,0,0,0,0.026049714,0.076976996,0,0,0,0,0,0,0.306383975,0.012181072,-,1.583598388,7.771746627
Gustafson et al. (2014),Soybeans,Argentina,0.201,0.333333333,5.634280779,Incl,Incl,NC,0.436867665,,NC,0,0.108605149,NC,NC,0,0.08910818,0.03029031,0,0,0,0,0,0,0,0.356259787,-,-,2.052493463,17.41573671
Vellinga et al. (2013),Soybeans,Argentina,0.201,0.333333333,7.761175893,0.019451717,0.051843597,0.250577384,,0.00345624,,0.058756076,0.233296185,Incl,0.127880872,0,0,0,0.053571717,0,0,0,0,0,0,0.291795072,0.019141478,-,1.456910517,7.150006897
Castanheira and Freire (2013),Soybeans,Brazil,0.096382,0.166666667,11.71209996,0.009885771,0.115810049,0.005587053,0.102578728,0,0,0,0.144896206,0,Incl,0,0,0.000378371,0,0,0,0,0,0,0,0.159507663,0.011602385,-,1.583598388,2.976848249
Castanheira and Freire (2013); Cavalett and Ortega (2009),Soybeans,Brazil,0.096382,0.166666667,12.54324312,0.012384372,0.173381699,0.006145642,0.13179288,0,0,0,0.150783208,0,Incl,0,0,0.000393078,0,0,0,0,0,0,0,0.165707607,0.011946475,-,1.583598388,2.976848249
Castanheira and Freire (2013),Soybeans,Brazil,0.123618,0.333333333,15.1147472,0.016537659,0.219338294,0.01261469,0.228453652,0,0,0,0.15667021,0,Incl,0,0,0.000463505,0,0,0,0,0,0,0,0.195396887,0.013355909,-,1.583598388,2.976848249
Cavalett and Ortega (2010),Soybeans,Brazil,0.096382,0.166666667,17.5337368,0.01328652,0.204196359,0.087905761,0.14642013,0,0,0,0.078891162,0,0.110635525,0,0,0.000408748,0,0,0,0,0,0,0,0.172313241,0.013056458,-,1.583598388,2.976848249
de Alvarenga (2010),Soybeans,Brazil,0.124047,0.5,10.94671518,0.058493473,1.401652741,,,,,0,0.094668049,0.004737839,0.581195508,0,0.100338148,0.000183245,Incl,0,0,0,0,0,0,0.077249411,0.021564416,0.017210548,1.583598388,2.976848249
de Alvarenga (2010),Soybeans,Brazil,0.1,0.5,10.52923261,0.033727521,0.700826039,,,,,0,0.097871613,0,0.355524729,0,0.104267204,0.000201771,Incl,0,0,0,0,0,0,0.08505941,0.015702743,0.017531576,1.583598388,2.976848249
Gustafson et al. (2014),Soybeans,Brazil,0.096382,0.166666667,14.43834091,Incl,Incl,NC,0.621790312,,NC,0,0.104751231,NC,NC,0,0.108124744,0.000516402,0,0,0,0,0,0,0,0.217696213,-,-,1.647833664,3.13439811
Jungbluth et al. (2007),Soybeans,Brazil,0.096382,0.166666667,10.83279764,0.14508611,0.565152175,,,,,,,0,0,0,NC,0.000228045,0,0,0,0,0,0,0,0.096135697,0.012102063,0.017071182,1.583598388,2.976848249
Maciel et al. (2015),Soybeans,Brazil,0.1,0.5,2.287376244,3.43773E-06,0.097702354,0.003784407,0.104826613,0.010077049,0.004569853,0,0.144178796,0.003059322,0.218388777,0,0,0.00037319,0,0,0,0,0,0,0,0.157323589,0.012546769,0.018418396,1.583598388,2.976848249
Matsuura et al. (2016),Soybeans,Brazil,0.118437,0.5,5.40615162,0.821696905,,,,,,,,0,0.065563368,0,0,0.000180283,0,0,0,0,0,0,0,0.076000708,0.014091661,0.003259216,1.583598388,2.976848249
Raucci et al. (2015),Soybeans,Brazil,0.087516,1,12.83039214,0.024566666,0.160068105,0.003526083,0.063932527,Incl,Incl,0,0.119577505,Incl,Incl,0,0,0.000291852,0,0,0,0,0,0,0,0.123034108,0.013797721,0.011894131,1.583598388,2.976848249
Raucci et al. (2015),Soybeans,Brazil,0.124047,0.5,11.18684123,0.027189194,0.129208823,0.003760586,0.072845384,Incl,Incl,0,0.120185861,Incl,Incl,0,0,0.000248636,0,0,0,0,0,0,0,0.104815984,0.012534622,0.011199854,1.583598388,2.976848249
Raucci et al. (2015),Soybeans,Brazil,0.118437,0.5,8.862089708,0.024484754,0.119846428,0.003575636,0.065839387,Incl,Incl,0,0.119202093,Incl,Incl,0,0,0.000187325,0,0,0,0,0,0,0,0.078969305,0.012077281,0.010901291,1.583598388,2.976848249
Vellinga et al. (2013),Soybeans,Brazil,0.123618,0.333333333,20.44753822,0.023791965,0.080239835,0.228768891,,0.013657844,,0.201453203,0.233890583,Incl,0.12974952,0,0,0,0.058045838,0,0,0,0,0,0,0.19027282,0.03582331,-,1.456910517,2.738700389
Pelletier et al. (2008),Soybeans,Canada,0.59506776,1,2.278944322,0.183664918,,0.011735112,0.107173317,0.176513749,,,,0.002848549,NC,0,NC,0.32412806,Incl,0,0,0,0,0,0,0,0.024290674,-,1.518099209,3.974930245
Pelletier et al. (2008),Soybeans,Canada,0.0102,1,2.162777976,0.075047802,,0.011992774,0.106998267,0.179339882,,,,0,NC,0,NC,0.32412806,Incl,0,0,0,0,0,0,0,0.021242452,-,1.518099209,3.974930245
Cheng et al. (2015),Soybeans,China,0.9692,0.2,2.349181397,0.022330388,0.417029363,0.000716416,0.060196079,0.217952033,0.044584228,0,0.034250635,0.058494664,0,0,0,0.008483519,0,0,0,0,0,0,0,0,0.024977866,-,2939.985407,133833.451
Gustafson et al. (2014),Soybeans,China,0.9692,0.2,7.00805632,Incl,Incl,NC,3.38579591,,NC,0,0.112840354,NC,NC,0,0.003161164,0.013520638,0,0,0,0,0,0,0,0,-,-,35.88932184,1606.965069
Knudsen et al. (2010),Soybeans,China,0.9692,0.2,2.397717588,0.014128568,0.125336168,0.002939427,0.303375935,0.208893613,,,,,0,0,0.119918849,0.011055688,0.091153577,0,0,0,0,0,0,0,0.019085628,0.005079977,1428.640437,3306.992635
Knudsen et al. (2010),Soybeans,China,0.0308,1,2.34917934,0.010380982,0,0.003548698,0.314761971,0,0,0.195600383,,0,0,0,0,0.012437649,0.091153577,0,0,0,0,0,0,0,0.024778374,0.003751477,1430.862598,3312.079516
Gustafson et al. (2014),Soybeans,India,0.6518,1,19.02253938,Incl,Incl,NC,6.565827566,,NC,0,0.165367275,NC,NC,0,0.140041372,0.123585777,0,0,0,0,0,0,0,0,-,-,6.766233187,188.7963248
Mohammadi et al. (2013),Soybeans,Iran (Islamic Republic of),0.435,0.333333333,3.769390072,1.322622396,,,,0.469543102,,,0,0.04195744,0,0,0.178921974,0,0,0,0,0,0,0,0,0,0.036181485,0.015115941,3226.445489,300698.0154
Mohammadi et al. (2013),Soybeans,Iran (Islamic Republic of),0.1125,0.333333333,3.465259054,1.201469352,,,,0.513617287,,,,0.034193413,0,0,0,0,0,0,0,0,0,0,0,0,0.023338193,0.011743879,2720.500749,253532.0507
Mohammadi et al. (2013),Soybeans,Iran (Islamic Republic of),0.2025,0.333333333,3.366923189,1.155848328,,,,0.466722178,,,0,0.040629154,0,0,0,0,0,0,0,0,0,0,0,0,0.023293803,0.011610967,2605.745367,242834.1466
Mohammadi et al. (2014),Soybeans,Iran (Islamic Republic of),0.75,0.333333333,2.811404606,0.024545804,0.052223403,0.014672236,0.817414951,0.106701908,,0.013946022,0.012699782,0.077381445,0,0,0.060056914,0,0,0,0,0,0,0,0,0,0.032526176,0.014947171,2936.746771,273691.2725
Nemecek et al. (2005),Soybeans,Switzerland,0.9,1,4.571755783,0.07584003,2.745860707,,,,,,,0,0,0,0,0,0.087397501,0,0,0,0,0,0,0,0.025388266,0.059932954,1.518099209,1.246875604
Nemecek et al. (2005),Soybeans,Switzerland,0.1,1,4.199217257,0.114861181,2.363377841,,,,,,,0,0,0,0,0,0.087397526,0,0,0,0,0,0,0,0.021006862,0.061125944,1.518099209,1.246875604
Soni et al. (2013),Soybeans,Thailand,1,1,2.454767525,0.054003905,0.098891231,0.001229915,0.359757051,0.061499139,0.019975998,0.126888735,0.041723067,0,0,0,0,0.103921092,0,0,0,0,0,0,0,0,0.019480115,0.011283254,1.583598388,8.617277314
Adom et al. (2012),Soybeans,United States of America,0.0879,0.25,4.571955147,0.058345213,2.177060179,,,,,,,,,0,NC,0.724898514,Incl,0,0,0,0,0,0,0,0.0146042,-,2279.404697,83129.60486
Adom et al. (2012),Soybeans,United States of America,0.4985,0.5,3.519636341,0.03702677,1.381595883,,,,,,,,,0,NC,0.554481781,Incl,0,0,0,0,0,0,0,0.012227963,-,2278.931404,83112.33541
Adom et al. (2012),Soybeans,United States of America,0.1426,0.5,3.895318838,0.04375891,1.632795134,,,,,,,,,0,NC,0.648984995,Incl,0,0,0,0,0,0,0,0.013290814,-,2277.968436,83077.1988
Camargo et al. (2013),Soybeans,United States of America,0.0879,0.25,2.660826453,0.046368666,0.311460729,0.015439513,0.126281723,0,0,0,0.131690931,0,Incl,0,0.013088228,0.523109418,0,0,0,0,0,0,0,0,0.012347696,-,1.518099209,14.44313515
Gustafson et al. (2014),Soybeans,United States of America,0.65768004,0.166666667,3.159258263,Incl,Incl,NC,0.534717875,,NC,0,0.142100523,NC,NC,0,0.014205272,0.619360902,0,0,0,0,0,0,0,0,-,-,6.519204,196.9226466
Jungbluth et al. (2007),Soybeans,United States of America,0.65768004,0.166666667,3.01225473,0.966531758,,,,,,,,,,0,NC,0.530588729,0,0,0,0,0,0,0,0,0.015249386,0.014349275,1.518099209,14.44313515
Vellinga et al. (2013),Soybeans,United States of America,0.65768004,0.166666667,2.298354502,0.01891051,0.089296323,0.180343553,,0.045523615,,0.063032698,0.229368985,Incl,0.098050864,0,0,0,0.040270891,0,0,0,0,0,0,0,0.02058294,-,1.442194249,13.72097839
Williams et al. (2006),Soybeans,United States of America,0.19596629,0.5,2.969739476,Incl,0.1491566,0.086696982,0.274610102,0.829730432,,,,0,0.095824675,0,0,0,0.021217361,0,0,0,0,0,0,0,0.016412168,0.02145824,1.518099209,14.44313515
Williams et al. (2006),Soybeans,United States of America,0.0017,0.5,3.171628836,Incl,0.120197304,0.086924717,0.255830004,1.096672614,,,,0,0.065829635,0,0,0,0.02117797,0,0,0,0,0,0,0,0.014091668,0.021249767,1.518099209,14.44313515
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palm (Oil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de Souza et al. (2010),Palm oil,Brazil,1,0.5,3.613392675,0.030951751,0.087666151,0,0,0.134106217,0.00637939,0.013365786,0.1082736,0.00615399,0,0,0,9.89042E-05,0,0,0,0,0,0,0,0.035951333,0.01219269,-,6.631713437,12.60627895
Achten et al. (2010),Palm oil,Cameroon,1,1,6.671152176,0.000150532,0.090611525,0.000759151,0.011885542,0.042177501,0.105850336,0.013707688,0,0.014152559,0.01014264,0,0,0.06437493,0,0,0,0,0,0,0,0.127994444,0.014957905,0.010170816,6.38737056,31.57092034
Castanheira et al. (2014),Palm oil,Colombia,1,0.5,2.557622337,0.000326823,0.16901456,0.002002865,0.03101472,0.34292412,,,,0.007750493,0,0,0,0.210736939,0,0,0,0,0,0,0,0,0.01635953,-,6.38737056,4.919744427
Garcia-Nunez (2015),Palm oil,Colombia,1,0.5,4.857438758,0.000262847,0.106347611,0.003006385,0.210277772,0.020617957,0.004319803,0,0.151192079,0.003773621,0.005594004,0,0,0.28465215,0,0,0,0,0,0,0,0,-,-,6.38737056,4.919744427
Mathews and Ardiyanto (2015),Palm oil,Indonesia,0.579545455,0.194444444,7.38740723,0.000175074,0.06004563,0.00187944,0.043322802,0.087578896,0.017752814,0.066954703,0.044835739,0.023052849,0,0,0,1.043171446,0,0,0,0,0,0,0,1.271643981,0.016295835,-,6.38737056,67.222093
Siregar et al. (2015),Palm oil,Indonesia,1,0.083333333,9.974741732,0.002104823,Incl,NC,0.432845571,,,,0.116997267,NC,0,0,0,1.432801267,0,0,0,0,0,0,0,1.746609451,-,-,6.38737056,67.222093
Choo et al. (2011),Palm oil,Malaysia,1,0.125,3.367278936,4.64775E-05,0.153630186,0.001127011,0.038111542,0.226345376,,NC,0.070584374,0.000692722,0,0,0,0.687110782,0,0,0,0,0,0,0,0.255631023,-,-,6.38737056,3.751494351
Pehnelt and Vietze (2013b),Palm oil,Malaysia,0.95,0.15,5.299980025,0.000269877,0.154168384,0.001940015,0.036041514,0.168477371,,NC,0.132391524,0.02561966,0,0,0,1.400175265,0,0,0,0,0,0,0,0.520917797,-,-,6.38737056,3.751494351
Schmidt (2010); Nguyen et al. (2012b),Palm oil,Malaysia,0.95,0.15,7.338502847,0.504586535,,,,0.569001837,,,,0.010303339,0,0,0,1.299382038,0,0,0,0,0,0,0,1.276741309,0.018124189,0.017100055,7.413145429,6.011881594
Stichnothe and Schuchardt (2011),Palm oil,Malaysia,0.95,0.15,5.452488733,0.000255256,0.200494599,0.006783585,Incl,0.147626764,,0,0.112786323,0.022849426,0,0,0,1.192830292,0,0,0,0,0,0,0,0.443777678,0.017742814,0.010292249,6.38737056,3.751494351
Stichnothe and Schuchardt (2011),Palm oil,Malaysia,0.05,0.75,3.545071812,0.000253864,0.210182696,0.006783585,Incl,0.135263932,,NC,0.112786323,0.022849426,0,0,0,1.192830292,0,0,0,0,0,0,0,0.443777678,0.017864415,0.005491586,6.38737056,3.751494351
Yee et al. (2009); de Souza et al. (2010),Palm oil,Malaysia,0.95,0.15,5.339559241,0.000349605,0.103368366,NC,0.164339618,0.303963891,,0,0.133396006,0.02053881,0,0,0,1.394024405,0,0,0,0,0,0,0,0.518629446,-,-,6.38737056,3.751494351
Yusoff and Hansen (2007); de Souza et al. (2010); Dalgaard et al. (2008),Palm oil,Malaysia,0.95,0.15,4.691904609,0.000218854,0.05894344,0.004193489,0.042426332,0.216422291,,,0.118722445,0.021935449,0,0,0,1.287818096,0,0,0,0,0,0,0,0.47911671,0.01572636,0.006655103,6.38737056,3.751494351
Pleanjai and Gheewala (2009); de Souza et al. (2010),Palm oil,Thailand,0.4,0.5,1.016978078,Incl,0.204685994,0,0,0.134486366,,0,0.193015767,0.052396992,0,0,0,0.018128812,0,0,0,0,0,0,0,0,-,-,6.38737056,34.75738789
Saswattecha et al. (2015),Palm oil,Thailand,0.36,1,2.899909279,0.000118913,0.029474146,0.000608967,6.78744E-05,0.0151503,0.004923848,NC,0.156964789,0.021332559,0,0,0,0.016973767,0,0,0,0,0,0,0,0,0.00712865,0.001965567,6.38737056,34.75738789
Saswattecha et al. (2015),Palm oil,Thailand,0.174,1,1.636694607,0.000121898,0.026537066,0.000339096,6.61114E-05,0.016310132,0.005300793,NC,0.163356432,0.022349326,0,0,0,0.016333248,0,0,0,0,0,0,0,0,0.007382274,0.002023817,6.38737056,34.75738789
Saswattecha et al. (2015),Palm oil,Thailand,0.066,1,-0.266883471,0.000108486,0.022722552,0.00018601,6.36322E-05,0.012708311,0.004130201,NC,0.150137329,0.018536148,0,0,0,0.015014194,0,0,0,0,0,0,0,0,0.00681138,0.001898456,6.38737056,34.75738789
Thamsiriroj and Murphy (2009),Palm oil,Thailand,0.4,0.5,0.960499032,0.000219411,0.112778656,0.002729619,0.038485774,0.267660428,,,,0,0,0,0,0.015348803,0,0,0,0,0,0,0,0,-,-,6.38737056,34.75738789
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palm fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delivand and Gnansounou (2013),Palm fruit,Brazil,1,0.5,5.133047017,0.002071549,0.24590495,0.001336334,0.038705936,0.098508122,0.025640051,NC,0.141702503,0.025038472,0,0,0,0.000111339,0,0,0,0,0,0,0,0.040471333,0.010155287,0.005357899,6.470427075,12.05401076
Bessou et al. (2016),Palm fruit,Indonesia,1,0.083333333,9.002170844,0.295555177,,,,,,0,0.112469258,0.020993136,0,0,0,1.262073236,0,0,0,0,0,0,0,1.538489036,0.01584118,0.016298675,6.38737056,67.222093
Frieden et al. (2011),Palm fruit,Indonesia,1,0.083333333,11.8603145,0.000471439,0.360416443,0.000412865,0.072430265,0.226209093,0.054074331,-,0.131727096,0.060723134,0,0,0,1.737335486,0,0,0,0,0,0,0,2.117841914,-,-,6.38737056,67.222093
Harsono et al. (2012),Palm fruit,Indonesia,0.579545455,0.194444444,9.453205239,0.006993331,0.131544465,NC,0.046281345,0.050454951,,NC,0.11132304,0.014911288,0,0,0,1.419494323,0,0,0,0,0,0,0,1.730388056,-,-,6.38737056,67.222093
Harsono et al. (2012),Palm fruit,Indonesia,0.420454545,0.145833333,12.50617387,0.007279828,0.134662052,NC,0.048650778,0.051588353,,NC,0.126828636,0.015757003,0,0,0,2.037988278,0,0,0,0,0,0,0,2.484342852,-,-,6.38737056,67.222093
Harsono et al. (2012),Palm fruit,Indonesia,0.420454545,0.145833333,8.846056195,0.010451753,0.152581243,NC,0.049954748,0.080561744,,NC,0.184770923,0.016646785,0,0,0,1.264857323,0,0,0,0,0,0,0,1.541882887,-,-,6.38737056,67.222093
Harsono et al. (2012),Palm fruit,Indonesia,0.579545455,0.194444444,9.340490112,0.005714379,0.053635136,NC,0.050607639,0.018504505,,0.002773609,0.102782063,0.004805552,0,0,0,1.426591795,0,0,0,0,0,0,0,1.739039996,-,-,6.38737056,67.222093
Harsono et al. (2012),Palm fruit,Indonesia,0.420454545,0.145833333,14.17302055,0.003946441,0.13446239,NC,0.046109651,0.051813386,,NC,0.129339646,0.033763094,0,0,0,2.377652991,0,0,0,0,0,0,0,2.898399994,-,-,6.38737056,67.222093
Harsono et al. (2012),Palm fruit,Indonesia,0.420454545,0.145833333,8.930118621,0.006577085,0.176794235,NC,0.056255016,0.06260327,,0,0.215566077,0.018425288,0,0,0,1.273437318,0,0,0,0,0,0,0,1.552342049,-,-,6.38737056,67.222093
Koch and Salou (2015),Palm fruit,Indonesia,1,0.083333333,8.185598612,0.327507088,,,,,,,,,,0,0,1.118342034,0,0,0,0,0,0,0,1.363278223,0.021286835,-,6.38737056,67.222093
Vellinga et al. (2013),Palm fruit,Indonesia,1,0.083333333,12.95322404,0.000667034,0.171170952,0.076075979,,0.129329164,,0.026626593,0.840639564,Incl,0.038037989,0,0,2.921317579,0,0,0,0,0,0,0,1.923572275,0.020858666,-,5.876380915,65.98520649
Vellinga et al. (2013),Palm fruit,Malaysia,1,0.125,5.344832946,0.000667034,0.197797544,0.064664582,,0.152151957,,0.030430391,0.806405373,Incl,0.030430391,0,0,0.981380124,0,0,0,0,0,0,0,0.401476029,0.022546243,-,5.876380915,3.682466855
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunflower (Oil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spinelli et al. (2012),Sunflower oil,Italy,1,0.125,4.517441633,0.001258,0.912025333,0.001665,0.575448667,1.156375683,0.078373141,0,0.133555199,0.055220658,0,0,0.0066605,0.130022822,0,0,0,0,0,0,0,0,-,0.02739682,2.870596636,50.9584296
Spinelli et al. (2013),Sunflower oil,Italy,1,0.125,3.352977765,0.001306263,0.562506173,0.001013953,0.45521903,0.756740192,0.052392541,0,0.104346353,0.036952867,0,0,0.005204434,0.096357384,0,0,0,0,0,0,0,0,-,0.019914401,2.870596636,50.9584296
Figueiredo et al. (2017); Figueiredo et al. (2012),Sunflower oil,Portugal,0.1359,0.333333333,2.138707461,0.468181397,,,,0.179645346,,,,0,0,0,0,0.149686348,0.107046408,0,0,0,0,0,0,0,0.012549818,0.009833567,2461.450657,125503.6644
Figueiredo et al. (2017); Figueiredo et al. (2012),Sunflower oil,Portugal,0.1359,0.333333333,2.635857403,0.761238016,,,,0.299049775,,,,0.048433176,0,0,0,0.154688765,0.107046408,0,0,0,0,0,0,0,0.018405036,0.01525742,1132.090224,57667.30547
Figueiredo et al. (2017); Figueiredo et al. (2012),Sunflower oil,Portugal,0.1359,0.333333333,2.457789158,0.67931887,,,,0.220352466,,,,0.042200772,0,0,0,0.154663629,0.107046408,0,0,0,0,0,0,0,0.013701775,0.011070699,1696.424791,86464.91467
Figueiredo et al. (2017); Figueiredo et al. (2012),Sunflower oil,Portugal,0.8641,0.333333333,3.16084085,0.875751934,,,,0,0,0,0.189196956,0,0,0,0,0.690441239,0.107046408,0,0,0,0,0,0,0,0.009190477,0.010785136,2.870596636,43.99576876
Figueiredo et al. (2017); Figueiredo et al. (2012),Sunflower oil,Portugal,0.8641,0.333333333,2.896010719,0.927739163,,,,0,0,0,0.019247233,0,0,0,0,0.560222131,0.107046408,0,0,0,0,0,0,0,0.009286458,0.009738319,2.870596636,43.99576876
Figueiredo et al. (2017); Figueiredo et al. (2012),Sunflower oil,Portugal,0.8641,0.333333333,2.648587161,0.706504213,,,,0,0,0,0.149196982,0,0,0,0,0.41963804,0.107046408,0,0,0,0,0,0,0,0.008710571,0.00831124,2.870596636,43.99576876
Stephenson et al. (2010),Sunflower oil,South Africa,1,0.5,3.914797546,0,0.231743387,0.084022538,0.512192919,0.115115567,,0,0.395828005,0.017755309,0.583228811,0,0,0.131488083,0,0,0,0,0,0,0,0,0.020054655,0.017264387,2.994450018,58.63618236
Stephenson et al. (2010),Sunflower oil,South Africa,1,0.5,3.258544665,0.007866911,0.34384184,0.04068452,0.238764146,0.233442723,,0,0.259207205,0.035032591,0.272521493,0,0,0.06268646,0,0,0,0,0,0,0,0,0.020433138,0.012550699,2.994450018,58.63618236
Hetherington (2014),Sunflower oil,Spain,1,0.5,3.410462945,1.999554956,,,,,,,,,,,,,,0,0,0,0,0,0,0,0.014321466,0.175685435,6.064859117,190.9901766
Schmidt (2015),Sunflower oil,Ukraine,1,0.5,3.042508858,0.028610819,0.6322976,0.3797024,,0.5812928,,,,0.016409734,NC,0,0.053717154,0,Incl,0,0,0,0,0,0,0,0.010697829,-,10.25989691,236.799445
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vellinga et al. (2013),Sunflower seeds,Argentina,1,1,2.39671518,0.015122023,0.093229039,0.441975321,,0.080369861,,0.085192053,0.131806573,Incl,0.04661452,0,0,0,0.041792328,0,0,0,0,0,0,0,0.024871847,-,501.2972183,10267.27934
Matsuura et al. (2016),Sunflower seeds,Brazil,1,1,7.734856517,1.070251302,,,,,,,,0.068629976,0.111029423,0,0,0.000303087,0,0,0,0,0,0,0,0.172805038,0.048092908,0.007546945,2.994450018,5.628967144
Iriarte et al. (2010),Sunflower seeds,Chile,1,1,4.48086062,1.615579882,,,,0.67906836,,0,0.074428309,0.245579446,,0,0.088046986,0.135949017,0,0,0,0,0,0,0,0,0.061583046,0.021681228,5977.160044,519840.661
Vellinga et al. (2013),Sunflower seeds,China,1,1,4.342769551,0.044390581,0.5802704,0.970235685,,0.490256155,,0.245931776,0.126984381,Incl,0.167169312,0,0,0,0.04661452,0,0,0,0,0,0,0,0.066320864,-,3845.782245,175053.7223
Carrouée et al. (2012),Sunflower seeds,France,1,0.2,2.225030044,0.002684902,0.391218951,0.281400661,,0.209899885,,,,0.00912647,NC,0,0,0,0,0,0,0,0,0,0,0,0.01612868,0.027648955,2.870596636,6.644282974
Carrouée et al. (2012),Sunflower seeds,France,1,0.2,2.478475787,0.003215956,0.519015122,0.276726769,,0.31354437,,,,0.013052329,NC,0,0,0,0,0,0,0,0,0,0,0,0.018123945,0.052625167,2.870596636,6.644282974
Koch and Salou (2015),Sunflower seeds,France,1,0.2,2.642353926,0.004908083,0.295186143,0.244703002,,0.365210263,,,,0.012361562,,0,0,0.352694834,0,0,0,0,0,0,0,0,0.017522774,0.016092352,22.30677,167.7466424
van der Werf (2004),Sunflower seeds,France,1,0.2,3.558013681,1.651052458,,,,,,0,0.098878588,0,0.055771168,0,0,0.304736586,0,0,0,0,0,0,0,0,0.015997767,0.017370892,2.870596636,6.644282974
Vellinga et al. (2013),Sunflower seeds,France,1,0.2,3.304851982,0.02947195,0.503115333,0.225035612,,0.596344372,,0.141450956,0.118947395,Incl,0.128591778,0,0,0,0.033755342,0,0,0,0,0,0,0,0.057766105,-,2.727066804,6.312068825
Küstermann et al. (2008),Sunflower seeds,Germany,0.08,1,2.596410238,Incl,0,0.155524885,0.295098499,0,0,1.389107744,,0,0,0,0,1.201276956,0.115667658,0,0,0,0,0,0,0,0.025047575,0.011221601,2.870596636,3.564764315
Goglio et al. (2012),Sunflower seeds,Italy,1,0.125,4.095669315,2.4757504,,,,,,,,,0,0,0,0.064385606,0.115667658,0,0,0,0,0,0,0,0.009907575,0.024612944,724.6338868,3518.713463
Spugnoli et al. (2012),Sunflower seeds,Italy,1,0.125,2.856167751,0.003282001,0.400105744,0.039548402,0.372442789,0.348966102,,0,0.126685133,0,0,0,0,0.094435898,0.115667658,0,0,0,0,0,0,0,0.015110598,0.015853544,15.88273601,751.9692214
Spugnoli et al. (2012),Sunflower seeds,Italy,1,0.125,4.286768144,0.005141801,0.85482448,0.054172978,0.509238299,0.825305708,,0,0.146237348,0.16889885,0,0,0,0.154336544,0.115667658,0,0,0,0,0,0,0,0.054704774,0.033161207,15.63003669,738.3553994
Spugnoli et al. (2012),Sunflower seeds,Italy,1,0.125,3.37854792,0.003856351,0.511054157,0.047708084,0.449001577,0.50930127,,0,0.133237165,0.079171336,0,0,0,0.13876454,0.115667658,0,0,0,0,0,0,0,0.0337439,0.022294511,16.25466466,772.0063567
